trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
50,False,"{'a': 0.4, 'e': 0.6065306597126334}",20,0,-8.053093573382998,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.6004955788122659}",25,0,-53.529457299566516,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.4, 'e': 0.5945205479701944}",20,13,-4.556772322896095,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.5886049696783552}",20,0,-86.81092855405886,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.5827482523739896}",20,0,-67.01001037745834,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.4, 'e': 0.5769498103804866}",25,14,-22.572419611783083,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.5712090638488149}",25,0,-118.2606609301247,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
57,False,"{'a': 0.4, 'e': 0.5655254386995371}",25,0,-76.69931049768807,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
58,False,"{'a': 0.4, 'e': 0.559898366565402}",20,0,-112.00827322747422,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.4, 'e': 0.5543272847345071}",20,0,-55.494691816866805,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.4, 'e': 0.5488116360940265}",25,0,-121.24230527793948,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
61,False,"{'a': 0.4, 'e': 0.5433508690744998}",20,3,-42.477994293949166,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.4, 'e': 0.5379444375946745}",30,0,-70.12527469593749,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.4, 'e': 0.5325918010068972}",25,5,-33.2806377552013,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.4, 'e': 0.5272924240430485}",30,0,-126.99900843535374,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
65,False,"{'a': 0.4, 'e': 0.522045776761016}",25,19,-0.9453248108043493,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.5168513344916992}",20,0,-61.40537903643419,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
